Species,Group,Netting,DNA metabarcoding,eDNA metabarcoding
Ascomorpha ecaudis,Rotifera,0,0,8
Asplanchna sieboldi,Rotifera,0,0,6
Athripsodes aterrimus,Trichoptera,0,0,1
Brachionus angularis,Rotifera,0,0,1
Brachionus calyciflorus,Rotifera,0,0,2
Brachionus quadridentatus,Rotifera,0,0,4
Brachionus urceolaris,Rotifera,0,0,1
Caenis horaria,Ephemeroptera,0,0,2
Canthocamptus staphylinus,Crustacea,0,0,1
Cataclysta lemnata,Lepidoptera,0,0,1
Cecidophyes galii,Arachnida,0,0,1
Chaetogaster diaphanus,Annelida,0,0,1
Chaetonotus aemilianus,Gastrotricha,0,0,2
Chaetonotus antrumus,Gastrotricha,0,0,1
Chaetonotus daphnes,Gastrotricha,0,0,5
Chaetonotus similis,Gastrotricha,0,0,3
Chydorus brevilabris,Crustacea,0,0,5
Corynoneura carriana,Diptera,0,0,2
Corynoneura scutellata,Diptera,0,0,7
Cristatella mucedo,Bryozoa,0,0,1
Culicoides alazanicus,Diptera,0,0,1
Cyclops abyssorum,Crustacea,0,0,1
Cyclops strenuus,Crustacea,0,0,9
Daphnia longispina,Crustacea,0,0,4
Daphnia pulex,Crustacea,0,0,1
Dermatophagoides pteronyssinus,Arachnida,0,0,1
Dicrotendipes nervosus,Diptera,0,0,1
Dicrotendipes tritomus,Diptera,0,0,1
Dissotrocha macrostyla,Rotifera,0,0,1
Elachiptera cornuta,Diptera,0,0,1
Eubosmina coregoni,Crustacea,0,0,1
Eucyclops macrurus,Crustacea,0,0,2
Eucyclops serrulatus,Crustacea,0,0,14
Eucypris virens,Crustacea,0,0,1
Eudiaptomus gracilis,Crustacea,0,0,4
Floscularia melicerta,Rotifera,0,0,2
Fridericia perrieri,Annelida,0,0,1
Graptoleberis testudinaria,Crustacea,0,0,6
Gyraulus albus,Mollusca,0,0,2
Haplothrips tenuipennis,Thysanoptera,0,0,8
Helix aspersa,Mollusca,0,0,1
Helophilus hybridus,Diptera,0,0,1
Heterolepidoderma macrops,Gastrotricha,0,0,6
Hyalopterus pruni,Hemiptera,0,0,1
Hydra oligactis,Cnidaria,0,0,6
Hydra viridissima,Cnidaria,0,0,8
Ilyocryptus agilis,Crustacea,0,0,1
Lecane closterocerca,Rotifera,0,0,6
Lepidochaetus zelinkai,Gastrotricha,0,0,1
Lepidodermella squamata,Gastrotricha,0,0,7
Limnephilus marmoratus,Trichoptera,0,0,1
Limnocythere inopinata,Crustacea,0,0,1
Megacyclops viridis,Crustacea,0,0,3
Metriocnemus albolineatus,Diptera,0,0,2
Microstomum lineare,Platyhelminthes,0,0,4
Microvelia reticulata,Hemiptera,0,0,3
Mystacides longicornis,Trichoptera,0,0,1
Mytilina mucronata,Rotifera,0,0,10
Nais christinae,Annelida,0,0,2
Orthocladius smolandicus,Diptera,0,0,2
Paraphaenocladius impensus,Diptera,0,0,1
Paratanytarsus dissimilis,Diptera,0,0,1
Paratanytarsus lauterborni,Diptera,0,0,1
Peripsocus subfasciatus,Psocoptera,0,0,2
Philodina citrina,Rotifera,0,0,9
Platyias quadricornis,Rotifera,0,0,1
Plectus aquatilis,Nematoda,0,0,5
Pleuroxus denticulatus,Crustacea,0,0,1
Polyarthra dolichoptera,Rotifera,0,0,7
Polymerurus rhomboides,Gastrotricha,0,0,2
Proales daphnicola,Rotifera,0,0,1
Proales fallaciosa,Rotifera,0,0,1
Proctotrupes bistriatus,Hymenoptera,0,0,1
Psychoda lativentris,Diptera,0,0,1
Ribautiana debilis,Hemiptera,0,0,1
Rotaria macrura,Rotifera,0,0,2
Rotaria neptunia,Rotifera,0,0,4
Rotaria neptunoida,Rotifera,0,0,1
Scapholeberis mucronata,Crustacea,0,0,2
Sigara venusta,Hemiptera,0,0,1
Simocephalus exspinosus,Crustacea,0,0,6
Simocephalus vetulus,Crustacea,0,0,13
Stenostomum sthenum,Platyhelminthes,0,0,8
Synchaeta pectinata,Rotifera,0,0,6
Testudinella patina,Rotifera,0,0,1
Theridiosoma gemmosum,Arachnida,0,0,1
Triaenodes bicolor,Trichoptera,0,0,1
Trichocerca similis,Rotifera,0,0,1
Tyrophagus putrescentiae,Arachnida,0,0,1
